11;na
82;na
87;na
104;na
119;na
146;na
157;8
215;na
279;8
291;na
305;na
317;na
328;8
329;11
348;na
357;na
439;na
443;na
444;2
460;na
493;7
527;6
556;na
576;1,2
580;na
582;na
588;2,3
595;na
623;2
628;na
630;na
632;2
635;na
638;3
645;11
647;10,1
649;na
724;na
735;1,2
737;na
752;12
753;na
754;na
758;2
786;11,3,14,4,,10
798;4
808;6
837;na
849;na
850;na
876;na
877;na
881;na
903;na
915;na
956;3,5,11
969;na
985;6,2
990;na
991;na
1014;na
1050;5
1061;na
1109;na
1169;na
1258;na
1265;na
1273;3,2,7
1305;na
1344;2
1349;na
1351;na
1362;na
1364;7;15
1371;na
1398;na
1431;3
1448;na
1453;na
1455;8
1471;na
1487;na
1490;na
1540;na
1576;na
1578;5,9,4,6
1627;4
1638;16,5
1669;na
1697;6
1706;na
1750;na
1763;2
1782;na
1820;14,3,4
1890;2
1968;na
2002;na
2058;na
2136;na
